[ INFO] [1775033731.523567858, 61.280000000]: Current Position - X: 1.04, Y: -0.04, Theta: 0.60
[ INFO] [1775033731.523682073, 61.280000000]: Lookahead Point - X: -0.01, Y: 0.00, Theta: 3.11
[ INFO] [1775033731.523733500, 61.280000000]: Control Output - Linear X: -0.99, Linear Y: 0.08, Angular Z: 1.00
[ INFO] [1775033731.741426827, 61.380000000]: Current Position - X: 0.96, Y: -0.09, Theta: 0.60
[ INFO] [1775033731.741512240, 61.380000000]: Lookahead Point - X: 1.45, Y: 2.08, Theta: 1.35
[ INFO] [1775033731.741540146, 61.380000000]: Control Output - Linear X: 1.00, Linear Y: 1.00, Angular Z: -1.00
[ INFO] [1775033731.976512277, 61.480000000]: Current Position - X: 0.90, Y: -0.13, Theta: 0.60
[ INFO] [1775033731.976594938, 61.480000000]: Lookahead Point - X: 0.86, Y: 0.89, Theta: 1.61
[ INFO] [1775033731.976624060, 61.480000000]: Control Output - Linear X: -0.57, Linear Y: -0.13, Angular Z: 1.00
[ INFO] [1775033732.141981861, 61.580000000]: Current Position - X: 0.89, Y: -0.14, Theta: 0.62
[ INFO] [1775033732.142086668, 61.580000000]: Lookahead Point - X: 0.86, Y: 0.89, Theta: 1.60
[ INFO] [1775033732.142121774, 61.580000000]: Control Output - Linear X: -0.02, Linear Y: 1.00, Angular Z: 0.94
[ INFO] [1775033732.381446796, 61.680000000]: Current Position - X: 0.90, Y: -0.12, Theta: 0.67
[ INFO] [1775033732.381526961, 61.680000000]: Lookahead Point - X: 0.86, Y: 0.89, Theta: 1.61
[ INFO] [1775033732.381553010, 61.680000000]: Control Output - Linear X: -0.04, Linear Y: 0.99, Angular Z: 0.89
[ INFO] [1775033732.681810171, 61.780000000]: Current Position - X: 0.91, Y: -0.12, Theta: 0.75
[ INFO] [1775033732.681927491, 61.780000000]: Lookahead Point - X: 0.86, Y: 0.89, Theta: 1.62
[ INFO] [1775033732.681964517, 61.780000000]: Control Output - Linear X: -0.07, Linear Y: 1.00, Angular Z: 0.82
[ INFO] [1775033732.980775700, 61.880000000]: Current Position - X: 0.91, Y: -0.13, Theta: 0.79
[ INFO] [1775033732.980865178, 61.880000000]: Lookahead Point - X: 0.86, Y: 0.89, Theta: 1.62
[ INFO] [1775033732.980896060, 61.880000000]: Control Output - Linear X: -0.04, Linear Y: 1.00, Angular Z: 0.77
